quarter,name,teacher,exceptions,price,maxStudents,weekday,startTime,endTime,room,startAge,endAge,link,status,condition,location,description
2024 3 Fall,Parkour at 11,Parkour Visions,,270,,Wednesday,11:00 AM,12:00 PM,Outdoors,6,9,https://www.6crickets.com/providerDirectory/US/WA/Seattle/Parkour-Visions-9dfcd5e558dfa04a/sessions/f994138290a6ff29/uwrx-sdgr-phtu?refer&provider=311,,,,"This program develops confidence and parkour skills, covering jumping, vaulting, climbing, balance, and quadrupedal movement. Each class includes ukemi (falling safety) and skill applications like games and obstacle courses. To request a scholarship for Parkour Visions' classes use this <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfTOI7VvocGYkkVWvKVoorAANMONkRtnBrFN9HZtyAZ8H21sA/viewform"" target=""_blank"" rel=""noreferrer noopener"">form</a>."
2024 3 Fall,Parkour at 12,Parkour Visions,,270,,Friday,12:00 PM,1:00 PM,Outdoors,8,12,https://www.6crickets.com/providerDirectory/US/WA/Seattle/Parkour-Visions-9dfcd5e558dfa04a/sessions/f217fbd8c4e4e63c/evzf-9nxx-2fnv?refer&provider=311,,Fridays: Sep 20 - Nov 15,,"This program develops confidence and parkour skills, covering jumping, vaulting, climbing, balance, and quadrupedal movement. Each class includes ukemi (falling safety) and skill applications like games and obstacle courses. To request a scholarship for Parkour Visions' classes use this <a href=""https://docs.google.com/forms/d/e/1FAIpQLSfTOI7VvocGYkkVWvKVoorAANMONkRtnBrFN9HZtyAZ8H21sA/viewform"" target=""_blank"" rel=""noreferrer noopener"">form</a>."
2024 3 Fall,Break,,,,,Wednesday,12:00 PM,12:30 PM,All,,,,,,,
2024 3 Fall,Open Gym,,,,,Wednesday,1:30 PM,3:30 PM,Gym,,,,,,,
2024 3 Fall,Park Play,,,,,Wednesday,12:30 PM,3:30 PM,Outdoors,,,,,,,
2024 3 Fall,Homeschool Baking,grettie’s goodies,,450 for nine / $50 for one,,Monday,10:00 AM,12:30 PM,Offsite,5,11,https://www.grettiesgoodies.com/home-school-baking-classes,,Mondays: Sep 16 - Nov 11,"2201 Northwest 85th Street, Seattle","Each week our young bakers will create two delicious items, usually one sweet and one savory. Bakers take home everything they make."
2024 3 Fall,Ignite Nature Connection: Owls & Dragons ~ Tuesdays,Briana McFarland,,538 / $448 sibling rate,,Tuesday,9:30 AM,12:00 PM,Offsite,7,9,https://www.ignitenatureconnection.com/program/owls-dragons-autumn-session-2024-tuesdays,,Tuesdays: Sep 17 - Nov 12,Carkeek Park,"This is a weekly program designed for children to become immersed in a community who come together in the outdoors to build on the skills and practices of nature connection. A collective environment which allows children to build community through shared experiences and deepen connection with earth and each other. We begin each day with an acknowledgement of gratitude for the natural world around us and everything that it provides. Children learn quickly and authentically to identify all of the things around them in which they are grateful for. This is a precious and important practice and a theme that is held throughout the day. Students are taught how to safely use knives as tools for skills such as fire building, carving and crafting. There is a strong focus on community building through working together on shelter creating, fire building, cooperative nature games and conflict resolution."
2024 3 Fall,Ignite Nature Connection: Wolves Teen Program ~ Tuesdays,Briana McFarland,,860 / $700 sibling rate,,Tuesday,12:30 PM,3:30 PM,Offsite,,,https://www.ignitenatureconnection.com/program/wolves-teen-program-autumn-session-2024-tuesdays,,Tuesdays: Sep 17 - Nov 12,Carkeek Park,"Ignite weekly teens programs are a collective environment which allow participants to build community through shared experiences while deepening their connection to the natural world around them. Each day begins with an acknowledgment of gratitude for the earth and all that it provides. Over the course of the term, students will focus on fire building, knife safety, survival skills (such as first aid, camouflage, etc.), cooperative nature games, advanced wildlife tracking, and plant and animal identification."
2024 3 Fall,Ignite Nature Connection: Fish Hawk ~ Thursdays,Briana McFarland,,860 / $700 sibling rate,,Thursday,10:00 AM,2:00 PM,Offsite,8,12,https://www.ignitenatureconnection.com/program/fish-hawk-autumn-session-2024-thursdays,,Thursdays: Sep 19 - Nov 14,Carkeek Park,"This is a weekly program designed for children to become immersed in a community who come together in the outdoors to build on the skills and practices of nature connection. A collective environment which allows children to build community through shared experiences and deepen connection with earth and each other. We begin each day with an acknowledgement of gratitude for the natural world around us and everything that it provides. Children learn quickly and authentically to identify all of the things around them in which they are grateful for. This is a precious and important practice and a theme that is held throughout the day. Students are taught how to safely use knives as tools for skills such as fire building, carving and crafting. There is a strong focus on community building through working together on shelter creating, fire building, cooperative nature games and conflict resolution."
2024 3 Fall,SHG North Seattle Park Day,,,,,Friday,1:00 PM,3:00 PM,Outdoors,,,,,,,Homeschool families meet year-round in all kinds of weather for free play and conversation.
